channel,period,spend,spend_share,incremental_sales,incremental_sales_ci_lower,incremental_sales_ci_upper,roi,roi_normalized
facebook,March 2024,119991.5820284052,0.34273125276411914,6928.020930152296,6124.569919155346,7731.723091688041,0.05773755802729769,0.9134471171282094
paid_search,March 2024,140058.86587154097,0.4000493180389228,8852.900998712743,8049.564244114734,9628.546844416682,0.06320842985286228,1.0
youtube,March 2024,90053.55067233469,0.257219429196958,3259.455272818834,2620.1380806624315,3936.7310621908864,0.036194633620594927,0.5726235203888065
